Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1472968	sequencing batch:FC2014_071		Late 8 post conception weeks		11832		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Late 8 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472969	sequencing batch:FC2014_073		Late 8 post conception weeks		11830		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Late 8 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472970	sequencing batch:FC2014_073		Late 8 post conception weeks		11830		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Late 8 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472971	sequencing batch:FC2014_054		Carnegie Stage 23		11920		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472972	sequencing batch:FC2014_054		Carnegie Stage 23		11920		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472973	sequencing batch:FC2014_054		16 post conception weeks		11907		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	16 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472974	sequencing batch:FC2014_055		13 post conception weeks		1923		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	13 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472975	sequencing batch:FC2014_055		13 post conception weeks		1923		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	13 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472976	sequencing batch:FC2014_047		11 post conception weeks		11656		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420			11 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472977	sequencing batch:FC2014_047		11 post conception weeks		11833		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	11 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472978	sequencing batch:FC2014_044		11 post conception weeks		11833		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	right	http://www.ebi.ac.uk/efo/EFO_0001659	11 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
ERR1472979	sequencing batch:FC2014_044		11 post conception weeks		11942		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	left	http://www.ebi.ac.uk/efo/EFO_0001658	11 post conception weeks		basal ganglion	http://purl.obolibrary.org/obo/UBERON_0002420	Yes
