Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1473106	sequencing batch:FC2014_050		Late 8 post conception weeks		11832		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			Late 8 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473107	sequencing batch:FC2014_050		Late 8 post conception weeks		11830		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			Late 8 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473108	sequencing batch:FC2014_050		16 post conception weeks		11907		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	right	http://www.ebi.ac.uk/efo/EFO_0001659	16 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473109	sequencing batch:FC2014_089		13 post conception weeks		1923		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			13 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473110	sequencing batch:FC2014_058		13 post conception weeks		11947		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			13 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473111	sequencing batch:FC2014_058		12 post conception weeks		11854		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			12 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	No
ERR1473112	sequencing batch:FC2014_065		12 post conception weeks		11834		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			12 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473113	sequencing batch:FC2014_065		12 post conception weeks		1102		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			12 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473114	sequencing batch:FC2014_065		12 post conception weeks		11885		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			12 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473115	sequencing batch:FC2014_065		11 post conception weeks		11602		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			11 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473116	sequencing batch:FC2014_075		11 post conception weeks		11833		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			11 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473117	sequencing batch:FC2014_089		11 post conception weeks		11930		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			11 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473118	sequencing batch:FC2014_089		11 post conception weeks		11942		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			11 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473119	sequencing batch:FC2014_065		10 post conception weeks		1308		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			10 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473120	sequencing batch:FC2014_065		10 post conception weeks		11841		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			10 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473121	sequencing batch:FC2014_073		17 post conception weeks		11921		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037			17 post conception weeks		cerebellum	http://purl.obolibrary.org/obo/UBERON_0002037	Yes
ERR1473122	sequencing batch:FC2014_038		Carnegie Stage 23		11823		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473123	sequencing batch:FC2014_038		Carnegie Stage 23		11823		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473124	sequencing batch:FC2014_038		Carnegie Stage 23		11826		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473125	sequencing batch:FC2014_038		Carnegie Stage 23		11827		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473126	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473127	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473128	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473129	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473130	sequencing batch:FC2014_032		9 post conception weeks		11820		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473131	sequencing batch:FC2014_032		9 post conception weeks		11820		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473132	sequencing batch:FC2014_035		Carnegie Stage 22		11831		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 22		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473133	sequencing batch:FC2014_038		Carnegie Stage 22		11831		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 22		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473134	sequencing batch:FC2014_035		Carnegie Stage 22		11871		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			Carnegie Stage 22		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473135	sequencing batch:FC2014_043		9 post conception weeks		11845		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473136	sequencing batch:FC2014_043		9 post conception weeks		11845		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473137	sequencing batch:FC2014_066		9 post conception weeks		11851		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473138	sequencing batch:FC2014_066		9 post conception weeks		11873		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473139	sequencing batch:FC2014_054		16 post conception weeks		11907		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	16 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473140	sequencing batch:FC2014_058		12 post conception weeks		11834		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	12 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473141	sequencing batch:FC2014_069		12 post conception weeks		11834		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	12 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473142	sequencing batch:FC2014_047		11 post conception weeks		11833		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	11 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473143	sequencing batch:FC2014_047		11 post conception weeks		11833		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	11 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473144	sequencing batch:FC2014_044		10 post conception weeks		1890		unknown		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			10 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473145	sequencing batch:FC2014_045		13 post conception weeks		11947		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	13 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473146	sequencing batch:FC2014_081		14 post conception weeks		11900		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			14 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473147	sequencing batch:FC2014_065		10 post conception weeks		1036		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886			10 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473148	sequencing batch:FC2014_080		12 post conception weeks		12007		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	right	http://www.ebi.ac.uk/efo/EFO_0001659	12 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473149	sequencing batch:FC2014_080		12 post conception weeks		12007		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	12 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473150	sequencing batch:FC2014_081		11 post conception weeks		11942		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	left	http://www.ebi.ac.uk/efo/EFO_0001658	11 post conception weeks		choroid plexus	http://purl.obolibrary.org/obo/UBERON_0001886	Yes
ERR1473151	sequencing batch:FC2014_038		Carnegie Stage 23		11826		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473152	sequencing batch:FC2014_038		Carnegie Stage 23		11826		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473153	sequencing batch:FC2014_038		Carnegie Stage 23		11827		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473154	sequencing batch:FC2014_030		Carnegie Stage 23		11827		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473155	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473156	sequencing batch:FC2014_030		Carnegie Stage 23		11846		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473157	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473158	sequencing batch:FC2014_030		Carnegie Stage 23		11918		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473159	sequencing batch:FC2014_035		Carnegie Stage 22		11831		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 22		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473160	sequencing batch:FC2014_035		Carnegie Stage 22		11831		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Carnegie Stage 22		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473161	sequencing batch:FC2014_037		Carnegie Stage 22		11858		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956			Carnegie Stage 22		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473162	sequencing batch:FC2014_043		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473163	sequencing batch:FC2014_043		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473164	sequencing batch:FC2014_066		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473165	sequencing batch:FC2014_066		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473166	sequencing batch:FC2014_066		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473167	sequencing batch:FC2014_066		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473168	sequencing batch:FC2014_066		9 post conception weeks		11851		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473169	sequencing batch:FC2014_150		Late 8 post conception weeks		11832		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	Late 8 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473170	sequencing batch:FC2014_150		Late 8 post conception weeks		11832		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Late 8 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473171	sequencing batch:FC2014_071		Late 8 post conception weeks		11830		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Late 8 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473172	sequencing batch:FC2014_054, FC2014_117		Carnegie Stage 23		11920		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473173	sequencing batch:FC2014_054, FC2014_117		Carnegie Stage 23		11920		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	Carnegie Stage 23		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473174	sequencing batch:FC2014_055		13 post conception weeks		11892		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956			13 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473175	sequencing batch:FC2014_047		11 post conception weeks		11656		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	11 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473176	sequencing batch:FC2014_044		10 post conception weeks		11841		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	10 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473177	sequencing batch:FC2014_049		Carnegie Stage 20		11121		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956			Carnegie Stage 20		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473178	sequencing batch:FC2014_073		16 post conception weeks		1107		unknown		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	16 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473179	sequencing batch:FC2014_054		15 post conception weeks		1117		unknown		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	15 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473180	sequencing batch:FC2014_055		13 post conception weeks		1923		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	13 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473181	sequencing batch:FC2014_055		13 post conception weeks		1923		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	13 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473182	sequencing batch:FC2014_055		12 post conception weeks		11834		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	12 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473183	sequencing batch:FC2014_032		9 post conception weeks		11820		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	right	http://www.ebi.ac.uk/efo/EFO_0001659	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473184	sequencing batch:FC2014_032		9 post conception weeks		11820		46, xx		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	left	http://www.ebi.ac.uk/efo/EFO_0001658	9 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
ERR1473185	sequencing batch:FC2014_055		12 post conception weeks		1835		46, xy		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956			12 post conception weeks		cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	Yes
